i,j,LLBCe_kfull,full_EBC_raw
0,1,0.012626262626262624,14.166666666666664
0,2,0.0388938403644286,43.63888888888887
0,3,0.010249554367201427,11.5
0,4,0.0261437908496732,29.333333333333332
0,5,0.03906714200831848,43.83333333333333
0,6,0.039067142008318484,43.833333333333336
0,7,0.01141032170443935,12.80238095238095
0,8,0.03711979741391507,41.64841269841272
0,10,0.0261437908496732,29.333333333333332
0,11,0.029411764705882353,33.0
0,12,0.023262032085561494,26.099999999999994
0,13,0.021185949127125604,23.770634920634922
0,17,0.02006196417961124,22.509523809523817
0,19,0.022968480321421503,25.770634920634926
0,21,0.020061964179611237,22.509523809523817
0,31,0.06362999745352686,71.39285714285714
1,2,0.011616161616161618,13.033333333333335
1,3,0.0038621509209744503,4.333333333333333
1,7,0.0037114845938375344,4.164285714285714
1,13,0.006202784143960616,6.9595238095238106
1,17,0.009349800526271112,10.490476190476189
1,19,0.007316866140395553,8.20952380952381
1,21,0.009349800526271114,10.490476190476189
1,30,0.01614039555216026,18.10952380952381
2,3,0.011215092097445038,12.583333333333332
2,7,0.01260716407775231,14.145238095238092
2,8,0.004587895764366352,5.147619047619046
2,9,0.015401918343094814,17.28095238095238
2,13,0.0038154655801714617,4.28095238095238
2,27,0.02059601618425148,23.108730158730157
2,28,0.011391223155929034,12.78095238095238
2,32,0.034493393316922714,38.7015873015873
3,7,0.0016827943298531535,1.8880952380952383
3,12,0.006149732620320853,6.899999999999997
3,13,0.007461166284695695,8.37142857142857
4,6,0.0023767082590612,2.6666666666666665
4,10,0.00148544266191325,1.6666666666666665
5,6,0.0014854426619132501,1.6666666666666667
5,10,0.0023767082590612,2.6666666666666665
5,16,0.014705882352941176,16.5
6,16,0.014705882352941176,16.5
8,30,0.004901960784313725,5.5
8,32,0.015220835809071102,17.07777777777778
8,33,0.020218289335936394,22.68492063492063
9,33,0.014807741278329513,16.614285714285714
13,33,0.03391194861783096,38.049206349206344
14,32,0.01204198851257675,13.511111111111111
14,33,0.017369776193305604,19.488888888888887
15,32,0.01204198851257675,13.511111111111111
15,33,0.017369776193305604,19.488888888888887
18,32,0.01204198851257675,13.511111111111111
18,33,0.017369776193305604,19.488888888888887
19,33,0.029691169397051756,33.31349206349206
20,32,0.01204198851257675,13.511111111111111
20,33,0.017369776193305604,19.488888888888887
22,32,0.012041988512576748,13.511111111111111
22,33,0.017369776193305604,19.48888888888889
23,25,0.009888096652802533,11.094444444444443
23,27,0.0052683699742523266,5.91111111111111
23,29,0.0033273915626856805,3.733333333333333
23,32,0.011170528817587637,12.533333333333331
23,33,0.01633491780550604,18.327777777777783
24,25,0.0021093285799168152,2.3666666666666667
24,27,0.009328579916815209,10.466666666666669
24,31,0.020053475935828877,22.5
25,31,0.02102891661715191,23.594444444444445
26,29,0.0022663610898905014,2.5428571428571427
26,33,0.02714540361599185,30.457142857142856
27,33,0.015238519650284357,17.097619047619045
28,31,0.00742721330956625,8.333333333333334
28,33,0.012282488753076987,13.78095238095238
29,32,0.011664261664261662,13.087301587301587
29,33,0.014903941374529609,16.722222222222225
30,32,0.008526440879382056,9.566666666666666
30,33,0.013407181054239879,15.042857142857144
31,32,0.020716973658150124,23.244444444444444
31,33,0.02669694140282376,29.953968253968267
32,33,0.004112554112554112,4.614285714285714
